19/06/2023 17:19:11; 127.0.0.1; ivan; Выполнен вход
19/06/2023 17:19:31; 127.0.0.1; ivan; Сообщение: hello
19/06/2023 17:21:25; 127.0.0.1; ivan; Сообщение: s
19/06/2023 17:21:27; 127.0.0.1; ivan; Сообщение: ssss
19/06/2023 17:21:28; 127.0.0.1; ivan; Сообщение: ss
19/06/2023 17:21:29; 127.0.0.1; ivan; Сообщение: ss
19/06/2023 17:21:30; 127.0.0.1; ivan; Сообщение: s
19/06/2023 17:21:31; 127.0.0.1; ivan; Сообщение: s
19/06/2023 17:21:34; 127.0.0.1; ivan; Очистил чат
19/06/2023 17:22:13; 127.0.0.1; ivan; Сменил тему
19/06/2023 17:22:31; 127.0.0.1; ivan; Очистил чат
19/06/2023 17:23:05; 127.0.0.1; ivan; Выполнен выход
